windowStart,windowEnd,durationMs,marketId,question,timeframe,tickCount,peakSpread,avgSpread,openCombined,closeCombined
2026-02-24T00:14:58.872Z,2026-02-24T00:14:58.872Z,0,0x1d62bbeda0900fabccc3003cfb6663f6b99fc4c88a40f36c3138c986cee70531,"Bitcoin Up or Down - February 23, 7:15PM-7:20PM ET",5-min,1,0.0300,0.0300,0.9700,1.0400
2026-02-24T00:14:59.004Z,2026-02-24T00:15:00.792Z,1788,0x32adad34baa96b959e0bdf6820f6e0922b4f02c65fe29345f49e339a79eb3007,"Bitcoin Up or Down - February 23, 7:10PM-7:15PM ET",5-min,7,0.0090,0.0090,0.9910,0.9910
2026-02-24T00:15:15.112Z,2026-02-24T00:15:15.112Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:15:27.848Z,2026-02-24T00:15:27.848Z,0,0x1d62bbeda0900fabccc3003cfb6663f6b99fc4c88a40f36c3138c986cee70531,"Bitcoin Up or Down - February 23, 7:15PM-7:20PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:17:11.304Z,2026-02-24T00:17:11.304Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:17:52.029Z,2026-02-24T00:17:52.029Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:18:02.298Z,2026-02-24T00:18:02.298Z,0,0x1d62bbeda0900fabccc3003cfb6663f6b99fc4c88a40f36c3138c986cee70531,"Bitcoin Up or Down - February 23, 7:15PM-7:20PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:18:12.114Z,2026-02-24T00:18:12.114Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:18:20.224Z,2026-02-24T00:18:20.224Z,0,0x1d62bbeda0900fabccc3003cfb6663f6b99fc4c88a40f36c3138c986cee70531,"Bitcoin Up or Down - February 23, 7:15PM-7:20PM ET",5-min,1,0.0200,0.0200,0.9800,1.0100
2026-02-24T00:18:38.463Z,2026-02-24T00:18:38.463Z,0,0x1d62bbeda0900fabccc3003cfb6663f6b99fc4c88a40f36c3138c986cee70531,"Bitcoin Up or Down - February 23, 7:15PM-7:20PM ET",5-min,1,0.0200,0.0200,0.9800,1.0100
2026-02-24T00:22:11.544Z,2026-02-24T00:22:11.544Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:23:47.774Z,2026-02-24T00:23:47.774Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:24:21.043Z,2026-02-24T00:24:21.043Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:24:54.977Z,2026-02-24T00:24:54.977Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:25:21.333Z,2026-02-24T00:25:21.333Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:26:56.076Z,2026-02-24T00:26:56.076Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:27:40.056Z,2026-02-24T00:27:40.056Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0200,0.0200,0.9800,1.0200
2026-02-24T00:28:31.930Z,2026-02-24T00:28:31.930Z,0,0x72f8ddb32b76f63d5f2cfd4f28e3a5fbf832f736b47bd586ec6afb84fecb8c5f,"Bitcoin Up or Down - February 23, 7:15PM-7:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0200
2026-02-24T00:42:15.047Z,2026-02-24T00:42:15.047Z,0,0xdcedba8f4b00c29b5735a6ebd5abba36a477ce6ddda5ea28e6c98799a35f144c,"Bitcoin Up or Down - February 23, 7:40PM-7:45PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:42:22.474Z,2026-02-24T00:42:22.474Z,0,0xdcedba8f4b00c29b5735a6ebd5abba36a477ce6ddda5ea28e6c98799a35f144c,"Bitcoin Up or Down - February 23, 7:40PM-7:45PM ET",5-min,1,0.0200,0.0200,0.9800,1.0100
2026-02-24T00:43:09.856Z,2026-02-24T00:43:09.856Z,0,0xdcedba8f4b00c29b5735a6ebd5abba36a477ce6ddda5ea28e6c98799a35f144c,"Bitcoin Up or Down - February 23, 7:40PM-7:45PM ET",5-min,1,0.0200,0.0200,0.9800,1.0100
2026-02-24T00:43:09.870Z,2026-02-24T00:43:09.870Z,0,0xdcedba8f4b00c29b5735a6ebd5abba36a477ce6ddda5ea28e6c98799a35f144c,"Bitcoin Up or Down - February 23, 7:40PM-7:45PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:44:20.507Z,2026-02-24T00:44:20.507Z,0,0xdcedba8f4b00c29b5735a6ebd5abba36a477ce6ddda5ea28e6c98799a35f144c,"Bitcoin Up or Down - February 23, 7:40PM-7:45PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:44:32.992Z,2026-02-24T00:44:32.992Z,0,0xdcedba8f4b00c29b5735a6ebd5abba36a477ce6ddda5ea28e6c98799a35f144c,"Bitcoin Up or Down - February 23, 7:40PM-7:45PM ET",5-min,1,0.0200,0.0200,0.9800,1.0100
